uzemi_kod,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,99
19,10524167,5027141,4958,3112,7162,10762,23610,713,8309,741019,32577,2048,896,474,1257,1224,1918,186,13298,53,40681,7081,672,51,397,2306,254,5132,5049,1226,455,21308,653,299,93,409,497,112,250,196,20,235834,27149,71089,1427,11,960201,232,366,21023,555,2764,516,608,3,96,49,206,1053,156,54,60,1,11,2696,998,98,42,118,8,13,86,111,113,76,189,190,65567,3162540
213,1301432,645956,371,373,778,1640,3949,134,3080,54863,5507,516,170,259,83,56,142,71,1680,4,14268,95,166,10,81,617,137,2041,1355,445,64,4860,166,16,19,170,234,42,15,15,5,26458,2693,7564,687,3,136397,27,34,5057,66,443,118,36,0,16,2,39,179,5,20,26,0,1,698,114,28,7,21,5,2,43,30,36,23,49,38,7630,368384
221,1415463,767306,361,225,529,1608,3093,76,1426,48858,3459,167,61,45,168,70,37,26,1597,2,6757,25,60,6,53,398,24,543,615,101,140,2787,77,93,9,67,83,18,63,13,2,23115,2265,6285,167,0,107081,16,37,3007,53,373,72,22,1,2,1,45,96,16,3,8,1,0,390,101,16,2,15,2,1,10,16,10,8,23,31,5618,425506
230,1213239,583752,252,150,480,1107,1807,42,727,67181,1826,52,371,12,61,91,53,31,1300,4,3881,13,109,7,74,246,16,298,528,127,25,1981,62,10,5,37,30,0,2,32,3,20993,1132,8085,100,2,107434,0,7,1976,78,305,62,50,0,0,0,7,195,7,1,0,0,0,280,148,7,6,24,0,2,7,6,7,10,11,17,6488,399007
248,1068201,613454,562,787,329,531,1260,19,638,19670,1648,39,47,49,32,26,12,14,1642,12,4000,7,52,8,13,221,10,551,599,122,28,1658,32,31,5,13,83,23,0,4,1,12405,1448,4031,105,1,67271,1,1,1711,67,238,56,14,2,5,27,92,101,1,3,10,0,0,163,110,5,5,2,0,1,4,14,7,11,16,18,3192,328831
256,1483560,772629,378,370,1006,1890,5478,108,869,64615,5194,72,11,32,773,64,19,15,1508,13,4254,18,99,13,27,273,20,426,538,103,49,2552,65,27,4,56,21,10,43,27,2,29491,3138,5874,102,0,114173,0,67,2678,68,346,58,74,0,0,13,4,92,23,12,1,0,1,334,161,6,12,13,1,0,4,9,9,4,25,19,6304,456773
264,1695312,685098,826,486,1242,1177,3665,175,809,216293,7073,209,220,36,57,246,37,21,1566,4,4542,80,79,3,108,285,31,748,697,168,71,3347,135,8,8,42,26,18,65,39,3,48783,3980,16472,136,3,183459,8,154,3143,86,573,79,118,0,12,1,13,199,66,9,7,0,6,461,167,18,6,22,0,5,13,14,24,7,30,24,15146,492325
272,1184119,464033,839,542,896,888,2470,113,372,160989,5604,90,6,27,50,245,25,2,1087,4,1842,60,71,3,25,97,9,224,359,98,47,2061,64,8,31,12,11,0,23,37,2,35071,3617,12315,66,1,127534,73,62,1698,60,286,35,203,0,18,1,4,128,12,1,4,0,3,168,108,7,4,6,0,1,4,13,10,9,22,26,11699,347484
281,1162841,494913,1369,179,1902,1921,1888,46,388,108550,2266,903,10,14,33,426,1593,6,2918,10,1137,6783,36,1,16,169,7,301,358,62,31,2062,52,106,12,12,9,1,39,29,2,39518,8876,10463,64,1,116852,107,4,1753,77,200,36,91,0,43,4,2,63,26,5,4,0,0,202,89,11,0,15,0,1,1,9,10,4,13,17,9490,344230
