uzemi_kod,uzemi_txt,nb_digits
19,Česká republika,2
221,Střední Čechy,3
213,Praha,3
256,Severovýchod,3
264,Jihovýchod,3
272,Střední Morava,3
281,Moravskoslezsko,3
248,Severozápad,3
230,Jihozápad,3
6216,Šlapanice,4
6208,Ivančice,4
6209,Kuřim,4
6210,Kyjov,4
6211,Mikulov,4
6212,Moravský Krumlov,4
6213,Pohořelice,4
7110,Šternberk,4
7109,Přerov,4
7108,Prostějov,4
7107,Olomouc,4
7106,Mohelnice,4
7105,Litovel,4
7104,Lipník nad Bečvou,4
7103,Konice,4
6214,Rosice,4
7101,Hranice,4
6221,Židlochovice,4
6220,Znojmo,4
6219,Vyškov,4
6218,Veselí nad Moravou,4
6217,Tišnov,4
6215,Slavkov u Brna,4
7102,Jeseník,4
8119,Ostrava,4
7111,Šumperk,4
8112,Kopřivnice,4
8111,Karviná,4
8110,Jablunkov,4
8109,Hlučín,4
8108,Havířov,4
8107,Frýdlant nad Ostravicí,4
8106,Frýdek-Místek,4
8105,Frenštát pod Radhoštěm,4
8104,Český Těšín,4
8103,Bruntál,4
8102,Bohumín,4
8101,Bílovec,4
7213,Zlín,4
7212,Vsetín,4
7211,Vizovice,4
7210,Valašské Meziříčí,4
7209,Valašské Klobouky,4
7208,Uherský Brod,4
7207,Uherské Hradiště,4
7206,Rožnov pod Radhoštěm,4
7205,Otrokovice,4
7204,Luhačovice,4
7203,Kroměříž,4
7202,Holešov,4
7201,Bystřice pod Hostýnem,4
7113,Zábřeh,4
7112,Uničov,4
6207,Hustopeče,4
8113,Kravaře,4
6206,Hodonín,4
6204,Břeclav,4
5215,Vrchlabí,4
5214,Trutnov,4
5213,Rychnov nad Kněžnou,4
5212,Nový Bydžov,4
5211,Nové Město nad Metují,4
5210,Nová Paka,4
5209,Náchod,4
5208,Kostelec nad Orlicí,4
5207,Jičín,4
5206,Jaroměř,4
5205,Hradec Králové,4
5204,Hořice,4
5203,Dvůr Králové nad Labem,4
5301,Česká Třebová,4
5202,Dobruška,4
5110,Železný Brod,4
5109,Turnov,4
5108,Tanvald,4
5107,Semily,4
5106,Nový Bor,4
5105,Liberec,4
5104,Jilemnice,4
5103,Jablonec nad Nisou,4
5102,Frýdlant,4
5101,Česká Lípa,4
4216,Žatec,4
4215,Varnsdorf,4
4214,Ústí nad Labem,4
5201,Broumov,4
5302,Hlinsko,4
5303,Holice,4
5304,Chrudim,4
6203,Brno,4
6202,Boskovice,4
6201,Blansko,4
6115,Žďár nad Sázavou,4
6114,Velké Meziříčí,4
6113,Třebíč,4
6112,Telč,4
6111,Světlá nad Sázavou,4
6110,Pelhřimov,4
6109,Pacov,4
6108,Nové Město na Moravě,4
6107,Náměšť nad Oslavou,4
6106,Moravské Budějovice,4
6105,Jihlava,4
6104,Chotěboř,4
6103,Humpolec,4
6102,Havlíčkův Brod,4
6101,Bystřice nad Pernštejnem,4
5315,Žamberk,4
5314,Vysoké Mýto,4
5313,Ústí nad Orlicí,4
5312,Svitavy,4
5311,Přelouč,4
5310,Polička,4
5309,Pardubice,4
5308,Moravská Třebová,4
5307,Litomyšl,4
5306,Lanškroun,4
5305,Králíky,4
6205,Bučovice,4
8114,Krnov,4
4212,Rumburk,4
8116,Odry,4
3104,Dačice,4
3105,Jindřichův Hradec,4
3106,Kaplice,4
3108,Písek,4
3109,Prachatice,4
3110,Soběslav,4
3111,Strakonice,4
3112,Tábor,4
3113,Trhové Sviny,4
3114,Třeboň,4
3116,Vimperk,4
3117,Vodňany,4
